SUBTITLE,"PREMIUM HOMES","PREMIUM HOMES","PREMIUM HOMES"
PAGE,Seite,Pagina,Page
TYPE,ART,TIPO,TYPE
ROOM_FOR_PAYMENT,ANZAHL ZIMMER,NUMERO DI CAMERE,NUMBER OF ROOMS
RETAIL_SPACE,HANDELSFLÄCHE,SPAZIO COMMERCIALE,COMMERCIAL SPACE
PURCHASE_PRICE,KAUFPREIS,PREZZO DI ACQUISTO,PURCHASE PRICE
ESTATE_AGENT,FABIAN PERNTHALER,FABIAN PERNTHALER,FABIAN PERNTHALER
EMAIL,f.pernthaler@premium-homes.it,f.pernthaler@premium-homes.it,f.pernthaler@premium-homes.it
WEBSITE,ww.premium-homes.it,ww.premium-homes.it,ww.premium-homes.it
TELEPHONE,"+39 347 4734794 | DE, IT, EN","+39 347 4734794 | DE, IT, IT","+39 347 4734794 | DE, IT, EN"
COMPANY,@premiumhomes.lakegarda,@premiumhomes. lakegarda,@premiumhomes. lakegarda
KEY_DATA,ECKDATEN,DATI SPECIFICI,SPECIFIC DATA
DESCRIPTION,BESCHREIBUNG,DESCRIZIONE,DESCRIPTION
IMPRESSIONS,EINDRÜCKE,INSIGHTS,INSIGHTS
LOCATION_DESCRIPTION,LAGEBESCHREIBUNG,UBICAZIONE,LOCATION
FLOOR_PLANS,GRUNDRISSE,PIANI DI TERRA,GROUND PLANS
AREA_CALCULATION,FLÄCHENBERECHNUNG,CALCOLO DELLE SUPERFICIE,AREA CALCULATION
CONTACT_PERSON,ANSPRECHPARTNER,CONTATTO PARTNER,CONTACT PARTNER
PROPERTY_TYPE,OBJEKTTYP,TIPO DI IMMOBILE,PROPERTY TYPE
ROOM_FOR_PAYMENT,ANZAHL ZIMMER,NUMERO DI CAMERE,NUMBER OF ROOMS
BEDROOM_FOR_PAYMENT,ANZAHL SCHLAFZIMMER,NUMERO DI CAMERE,NUMBER OF BEDROOMS
BATHROOM_FOR_PAYMENT,ANZAHL BADEZIMMER,NUMERO DI BAGNI,NUMBER OF BATHROOMS
GROSS_AREA,BRUTTOFLÄCHE,SUPERFICIE LORDA,GROSS FLOOR AREA
RETAIL_SPACE,HANDELSFLÄCHE,SPAZIO COMMERCIALE,RETAIL SPACE
PURCHASE_PRICE_PROPERTY,KAUFPREIS IMMOBILIE,PREZZO DI ACQUISTO DELL'IMMOBILE,PURCHASE PRICE PROPERTY
ELEVATOR,FAHRSTUHL,ASCENSORE,ELEVATOR
PARKING_SPACE,PKW STELLFLÄCHEN,PARCHEGGIO,CAR PARKING
PURCHASE_PRICE_GARAGE,KAUFPREIS GARAGE,PREZZO DI ACQUISTO GARAGE,PURCHASE PRICE GARAGE
FLOOR,ETAGE,PAVIMENTO,FLOOR
TYPE_OF_HEATING,HEIZUNGSART,TIPO DI RISCALDAMENTO,HEATING TYPE
AIR_CONDITIONING,KLIMATISIERUNG,ARIA CONDIZIONATA,AIR CONDITIONING
ENERGY_SOURCE,ENERGIETRÄGER,FONTE DI ENERGIA,ENERGY SOURCE
ENERGY_EFFICIENCY_CLASS,ENERGIEEFFIZIENZKLASSE,CLASSE DI EFFICIENZA ENERGETICA,ENERGY EFFICIENCY CLASS
ENERGY_PERFORMANCE_INDEX,ENERGIELEISTUNGSINDEX,INDICE DI PRESTAZIONE ENERGETICA,ENERGY PERFORMANCE INDEX
GOOD_TO_KNOW,GUT ZU WISSEN,BUONO A SAPERSI,GOOD TO KNOW
HIGHWAY,DIST. AUTOBAHN (KM),DIST. AUTOSTRADA (KM),DIST. HIGHWAY (KM)
CENTER,DIST. ZENTRUM (KM),DIST. CENTRO CITTÀ (KM),DIST. CITY CENTER (KM)
AIRPORT,DIST. FLUGHAFEN (KM),DIST. AEROPORTO (KM),DIST. AIRPORT (KM)
AREA_CALCULATION_OVERVIEW,FLÄCHENBERECHNUNG IM ÜBERBLICK,CALCOLO DELL'AREA IN SINTESI,AREA CALCULATION AT A GLANCE
RETAIL_SPACE_TEXT,"Die Handelsfläche, auch Verkaufsfläche genannt (im italienischen ""Superficie commerciale"") ist eine standardisierte Berechnungsmethode für den Verkauf von Immobilien in Italien, die über die reine Wohnfläche hinausgeht und in großteils der Immobilienportalen, Werbungen und Exposés Anwendung findet.","Die Handelsfläche, auch Verkaufsfläche genannt (im italienischen ""Superficie commerciale"") ist eine standardisierte Berechnungsmethode für den Verkauf von Immobilien in Italien, die über die reine Wohnfläche hinausgeht und in großteils der Immobilienportalen, Werbungen und Exposés Anwendung findet.","Die Handelsfläche, auch Verkaufsfläche genannt (im italienischen ""Superficie commerciale"") ist eine standardisierte Berechnungsmethode für den Verkauf von Immobilien in Italien, die über die reine Wohnfläche hinausgeht und in großteils der Immobilienportalen, Werbungen und Exposés Anwendung findet."
ANCILLARY_SPACE_LIST,"[
        ""Keller: ca. 20–35 %"",
        ""Balkone/Terrassen: ca. 25–50%"",
        ""Gärten: ca. 10–15 %"",
        ""Garagen: ca. 50 %, nicht überdachte Stellplätze ca. 20%"",
        ""Gemeinsame Trennwände werden zur Hälfte eingerechnet"",
    ]",,
,,,
,,,
,,,
,,,
,,,
,,,
